sorting_algorithm,num_trials,sequence_type,size,time,avg_time,standard_deviation
quick_sort,10,random,20000,2025-03-18 23:41:06,6.58014943599701,0.6580149436
quick_sort,10,random,30000,2025-03-18 23:43:56,17.04639630317688,1.7046396303
quick_sort,10,random,40000,2025-03-18 23:48:51,29.41674609184265,2.9416746092
quick_sort,10,random,50000,2025-03-18 23:54:11,32.0084766626358,3.2008476663
quick_sort,10,increasing,100,2025-03-18 23:54:11,0.0006983757019042968,0.0001396751
quick_sort,10,increasing,500,2025-03-18 23:54:11,0.01689453125,0.0033789063
quick_sort,10,increasing,1000,2025-03-18 23:54:12,0.06926047801971436,0.0138520956
quick_sort,10,increasing,3000,2025-03-18 23:54:19,0.6522714138031006,0.1304542828
quick_sort,10,increasing,5000,2025-03-18 23:54:36,1.7221859216690063,0.3444371843
quick_sort,10,increasing,7000,2025-03-18 23:55:12,3.621727228164673,0.7243454456
quick_sort,10,increasing,10000,2025-03-18 23:56:21,6.908870768547058,1.3817741537
quick_sort,10,increasing,20000,2025-03-19 00:01:14,29.219323682785035,5.8438647366
quick_sort,10,increasing,30000,2025-03-19 00:14:02,76.79157481193542,15.3583149624
quick_sort,10,increasing,40000,2025-03-19 00:33:21,115.9552426815033,23.1910485363
quick_sort,10,increasing,50000,2025-03-19 01:06:22,198.01415197849275,39.6028303957
quick_sort,10,decreasing,100,2025-03-19 01:06:22,0.00044684410095214845,0.0001340532
quick_sort,10,decreasing,500,2025-03-19 01:06:22,0.009198665618896484,0.0027595997
quick_sort,10,decreasing,1000,2025-03-19 01:06:22,0.04166555404663086,0.0124996662
quick_sort,10,decreasing,3000,2025-03-19 01:06:26,0.390203595161438,0.1170610785
quick_sort,10,decreasing,5000,2025-03-19 01:06:38,1.1136863708496094,0.3341059113
quick_sort,10,decreasing,7000,2025-03-19 01:06:59,2.19475679397583,0.6584270382
quick_sort,10,decreasing,10000,2025-03-19 01:07:45,4.530609154701233,1.3591827464
quick_sort,10,decreasing,20000,2025-03-19 01:10:48,18.322214674949645,5.4966644025
quick_sort,10,decreasing,30000,2025-03-19 01:17:45,41.65393600463867,12.4961808014
quick_sort,10,decreasing,40000,2025-03-19 01:30:12,74.6352070569992,22.3905621171
quick_sort,10,decreasing,50000,2025-03-19 01:49:07,113.50808923244476,34.0524267697
quick_sort,10,a_shaped,100,2025-03-19 01:49:07,0.0004377841949462891,0.0000656676
quick_sort,10,a_shaped,500,2025-03-19 01:49:07,0.007437658309936523,0.0011156487
quick_sort,10,a_shaped,1000,2025-03-19 01:49:07,0.036610984802246095,0.0054916477
quick_sort,10,a_shaped,3000,2025-03-19 01:49:11,0.3586616039276123,0.0537992406
quick_sort,10,a_shaped,5000,2025-03-19 01:49:22,1.0713508605957032,0.1607026291
quick_sort,10,a_shaped,7000,2025-03-19 01:49:36,1.400365447998047,0.2100548172
quick_sort,10,a_shaped,10000,2025-03-19 01:50:19,4.334098529815674,0.6501147795
quick_sort,10,a_shaped,20000,2025-03-19 01:52:46,14.711982131004333,2.2067973197
quick_sort,10,a_shaped,30000,2025-03-19 01:58:21,33.43499045372009,5.0152485681
quick_sort,10,a_shaped,40000,2025-03-19 02:08:21,59.9311103105545,8.9896665466
quick_sort,10,a_shaped,50000,2025-03-19 02:24:01,93.98547687530518,14.0978215313
quick_sort,10,v_shaped,100,2025-03-19 02:24:01,0.00023424625396728516,0.0000234246
quick_sort,10,v_shaped,500,2025-03-19 02:24:01,0.006757307052612305,0.0006757307
quick_sort,10,v_shaped,1000,2025-03-19 02:24:01,0.017516684532165528,0.0017516685
quick_sort,10,v_shaped,3000,2025-03-19 02:24:03,0.19679796695709229,0.0196797967
quick_sort,10,v_shaped,5000,2025-03-19 02:24:09,0.5711771726608277,0.0571177173
quick_sort,10,v_shaped,7000,2025-03-19 02:24:20,1.0878389120101928,0.1087838912
quick_sort,10,v_shaped,10000,2025-03-19 02:24:51,3.106657028198242,0.3106657028
quick_sort,10,v_shaped,20000,2025-03-19 02:25:47,5.62024757862091,0.5620247579
quick_sort,10,v_shaped,30000,2025-03-19 02:29:12,20.519219326972962,2.0519219327
quick_sort,10,v_shaped,40000,2025-03-19 02:37:48,51.54016733169556,5.1540167332
quick_sort,10,v_shaped,50000,2025-03-19 02:47:31,58.306033682823184,5.9896665466
